Name,Team,Position,Expert Rank
Josh Allen,BUF,QB,1.63
Jaxon Smith-Njigba,SEA,WR,3.63
Ja'Marr Chase,CIN,WR,3.88
Drake Maye,NE,QB,4.38
Puka Nacua,LAR,WR,4.63
Bijan Robinson,ATL,RB,5.63
Jahmyr Gibbs,DET,RB,6.50
Jayden Daniels,WAS,QB,9.38
Amon-Ra St. Brown,DET,WR,11.25
Lamar Jackson,BAL,QB,11.38
Malik Nabers,NYG,WR,13.63
Caleb Williams,CHI,QB,13.88
CeeDee Lamb,DAL,WR,14.38
Joe Burrow,CIN,QB,14.75
Justin Jefferson,MIN,WR,15.00
Ashton Jeanty,LV,RB,15.63
Patrick Mahomes,KC,QB,18.38
Drake London,ATL,WR,18.88
Brock Bowers,LV,TE,19.25
Trey McBride,ARI,TE,21.00
Omarion Hampton,LAC,RB,21.13
Devon Achane,MIA,RB,23.00
Jalen Hurts,PHI,QB,23.25
Tetairoa McMillan,CAR,WR,26.25
Jaxson Dart,NYG,QB,29.25
George Pickens,DAL,WR,29.88
Justin Herbert,LAC,QB,31.00
Colston Loveland,CHI,TE,32.25
Trevor Lawrence,JAX,QB,33.25
Chris Olave,NO,WR,33.75
Garrett Wilson,NYJ,WR,34.00
Nico Collins,HOU,WR,34.25
Brock Purdy,SF,QB,35.13
Bo Nix,DEN,QB,36.75
Jonathan Taylor,IND,RB,39.25
James Cook,BUF,RB,39.38
Emeka Egbuka,TB,WR,40.13
Kenneth Walker,KC,RB,44.38
Ladd McConkey,LAC,WR,45.25
Luther Burden,CHI,WR,49.00
Rome Odunze,CHI,WR,49.25
Dak Prescott,DAL,QB,50.38
Jordan Love,GB,QB,52.50
Tee Higgins,CIN,WR,53.25
Rashee Rice,KC,WR,54.25
Bucky Irving,TB,RB,55.75
Breece Hall,NYJ,RB,56.75
Chase Brown,CIN,RB,57.50
Tyler Warren,IND,TE,57.75
TreVeyon Henderson,NE,RB,57.75
Brian Thomas,JAX,WR,58.38
Quinshon Judkins,CLE,RB,58.50
Jared Goff,DET,QB,59.13
Zay Flowers,BAL,WR,62.00
Christian McCaffrey,SF,RB,63.13
Marvin Harrison,ARI,WR,63.38
Baker Mayfield,TB,QB,63.50
Kyren Williams,LAR,RB,64.75
Harold Fannin,CLE,TE,66.50
Jaylen Waddle,DEN,WR,69.63
Jameson Williams,DET,WR,70.25
Saquon Barkley,PHI,RB,70.63
A.J. Brown,PHI,WR,73.25
DeVonta Smith,PHI,WR,74.38
Cam Ward,TEN,QB,76.25
Javonte Williams,DAL,RB,76.38
